Hour,Minute,Price_now,Percentage,Volume
13,38,7058.75,-0.0199,63117302
13,39,7069.75,-0.0185,63750225
13,40,7069.75,-0.0184,65016870
13,41,7066.75,-0.0187,65384382
13,42,7062.25,-0.0182,66320565
13,43,7065.75,-0.0177,66815528
13,44,7067.25,-0.0171,66923729
13,45,7061.75,-0.0172,67497062
13,46,7068.75,-0.0169,68042640
13,47,7074.75,-0.0161,68733590
13,48,7085.75,-0.014,70767352
13,49,7085.75,-0.0145,72720538
13,50,7086.25,-0.0146,73971024
13,51,7085.25,-0.0137,74155253
13,52,7088.75,-0.0135,75234676
13,53,7083.25,-0.0148,75855734
13,54,7083.25,-0.0147,75998972
13,55,7080.25,-0.016,76963142
13,56,7080.25,-0.0163,77348640
13,57,7076.25,-0.0167,78334033
13,58,7075.25,-0.0165,78667118
